Time,active_jobs,ci,emissions
2020-01-04 09:00:00,12.9,184.10308617348684,2374.9298116379805
2020-01-04 09:30:00,13.2,177.09063285387705,2337.596353671177
2020-01-04 10:00:00,12.85,178.6820538621721,2296.0643921289115
2020-01-04 10:30:00,12.25,179.98698897533885,2204.840614947901
2020-01-04 11:00:00,13.45,182.74641874584955,2457.9393321316766
2020-01-04 11:30:00,12.9,181.33214717427032,2339.184698548087
2020-01-04 12:00:00,12.75,176.72526113249037,2253.247079439252
2020-01-04 12:30:00,11.65,180.91374072037397,2107.645079392357
2020-01-04 13:00:00,11.2,189.20722815753115,2119.120955364349
2020-01-04 13:30:00,11.0,192.1264627845273,2113.3910906298
2020-01-04 14:00:00,9.85,199.9127285075556,1969.1403757994228
2020-01-04 14:30:00,8.7,203.55146235930627,1770.8977225259644
2020-01-04 15:00:00,10.0,204.3144718646194,2043.1447186461942
2020-01-04 15:30:00,8.05,213.15060138068463,1715.8623411145115
2020-01-04 16:00:00,8.1,226.9986002318808,1838.6886618782344
2020-01-04 16:30:00,7.05,233.0450489339268,1642.967594984184
2020-01-04 17:00:00,7.0,238.21390740767177,1667.4973518537024
2020-01-04 17:30:00,6.8,241.6372578176569,1643.1333531600667
2020-01-04 18:00:00,6.4,246.71767634117072,1578.9931285834928
2020-01-04 18:30:00,6.45,249.5090812533192,1609.3335740839088
2020-01-04 19:00:00,6.25,255.2393586680028,1595.2459916750176
2020-01-04 19:30:00,5.2,265.0707562786738,1378.3679326491038
2020-01-04 20:00:00,5.05,271.2627966967893,1369.8771233187858
2020-01-04 20:30:00,5.2,279.0395782319724,1451.0058068062567
2020-01-04 21:00:00,2.9,293.73272329964493,851.8248975689703
2020-01-04 21:30:00,3.2,303.1199546524509,969.9838548878429
2020-01-04 22:00:00,2.05,312.2573471008737,640.127561556791
2020-01-04 22:30:00,2.0,314.1283872877479,628.2567745754958
2020-01-04 23:00:00,1.95,310.7606067349058,605.9831831330663
2020-01-04 23:30:00,1.55,313.16361152769684,485.4035978679301
2020-01-05 00:00:00,1.55,321.3263361010408,498.0558209566133
2020-01-05 00:30:00,1.7,324.03838948526567,550.8652621249516
2020-01-05 01:00:00,1.5,325.94026616513685,488.9103992477053
2020-01-05 01:30:00,1.5,326.6924284971399,490.0386427457098
2020-01-05 02:00:00,1.5,331.7476098615734,497.62141479236004
2020-01-05 02:30:00,1.5,333.1892612176424,499.7838918264636
2020-01-05 03:00:00,1.5,338.1976537580545,507.2964806370818
2020-01-05 03:30:00,1.5,339.3106647383363,508.96599710750445
2020-01-05 04:00:00,1.5,339.53445560568656,509.3016834085298
2020-01-05 04:30:00,1.5,342.5052718090686,513.7579077136029
2020-01-05 05:00:00,1.5,344.6956709024338,517.0435063536506
2020-01-05 05:30:00,1.45,346.97947896647446,503.12024450138796
2020-01-05 06:00:00,1.5,347.5568998587779,521.3353497881669
2020-01-05 06:30:00,1.35,352.19484705441994,475.4630435234669
2020-01-05 07:00:00,1.5,354.521021952127,531.7815329281905
2020-01-05 07:30:00,1.5,356.98653546854524,535.4798032028178
2020-01-05 08:00:00,1.2,356.2628168174137,427.51538018089644
2020-01-05 08:30:00,1.35,350.566024115191,473.2641325555079
2020-01-05 09:00:00,1.15,346.55722799511,398.5408121943765
2020-01-05 09:30:00,1.45,340.5802269346978,493.8413290553118
2020-01-05 10:00:00,1.45,337.27384818627183,489.04707987009414
2020-01-05 10:30:00,1.5,335.42839546426114,503.1425931963917
2020-01-05 11:00:00,1.5,332.7422684172137,499.1134026258206
2020-01-05 11:30:00,1.5,334.0937110345528,501.14056655182924
2020-01-05 12:00:00,1.5,334.98399910275344,502.4759986541302
2020-01-05 12:30:00,1.0,334.9300786522083,334.9300786522083
2020-01-05 13:00:00,1.0,337.2296439671698,337.2296439671698
2020-01-05 13:30:00,1.0,342.3445091685553,342.3445091685553
2020-01-05 14:00:00,0.95,344.1608189345533,326.9527779878256
2020-01-05 14:30:00,0.8,345.1914527503526,276.1531622002821
2020-01-05 15:00:00,0.9,340.9038636153062,306.8134772537756
2020-01-05 15:30:00,0.5,337.44076702731303,168.72038351365651
2020-01-05 16:00:00,0.5,331.31324483196056,165.65662241598028
2020-01-05 16:30:00,0.5,333.3714639868963,166.68573199344814
2020-01-05 17:00:00,0.5,335.30412416538945,167.65206208269473
2020-01-05 17:30:00,0.5,339.8263870430422,169.9131935215211
2020-01-05 18:00:00,0.5,336.1765374236614,168.0882687118307
2020-01-05 18:30:00,0.55,335.84047029041056,184.71225865972582
2020-01-05 19:00:00,0.5,331.997171623737,165.9985858118685
2020-01-05 19:30:00,0.6,326.35874707610054,195.8152482456603
2020-01-05 20:00:00,0.5,326.3149633642393,163.15748168211965
2020-01-05 20:30:00,0.55,327.33478442208434,180.0341314321464
2020-01-05 21:00:00,0.5,325.01405686399323,162.50702843199662
2020-01-05 21:30:00,0.55,322.2452257909577,177.23487418502674
2020-01-05 22:00:00,0.7,322.5254292134832,225.76780044943823
2020-01-05 22:30:00,0.5,318.31801214301777,159.15900607150888
2020-01-05 23:00:00,0.4,313.2368814511916,125.29475258047665
2020-01-05 23:30:00,0.25,314.563932454148,78.640983113537
2020-01-06 00:00:00,0.05,312.6088477516216,15.630442387581082
2020-01-06 00:30:00,0.0,315.23924130896256,0.0
2020-01-06 01:00:00,0.0,315.50637013443946,0.0
2020-01-06 01:30:00,0.0,319.7374232787554,0.0
2020-01-06 02:00:00,0.0,316.72831991009554,0.0
2020-01-06 02:30:00,0.0,316.70038313454893,0.0
2020-01-06 03:00:00,0.0,321.7837752349056,0.0
2020-01-06 03:30:00,0.0,330.02828534980404,0.0
2020-01-06 04:00:00,0.0,341.429968414854,0.0
2020-01-06 04:30:00,0.0,348.3747394637369,0.0
2020-01-06 05:00:00,0.0,357.807267176644,0.0
2020-01-06 05:30:00,0.0,364.4511567900807,0.0
2020-01-06 06:00:00,0.0,370.1550364812061,0.0
2020-01-06 06:30:00,0.0,381.5203992385656,0.0
2020-01-06 07:00:00,0.0,387.4473742901748,0.0
