Time,active_jobs,ci,emissions 
2020-05-20 12:30:00,15.1,145.08549898560526,2190.7910346826393
2020-05-20 13:00:00,14.2,143.54348346336093,2038.317465179725
2020-05-20 13:30:00,16.2,135.17784117926772,2189.881027104137
2020-05-20 14:00:00,17.15,131.8014543748534,2260.3949425287356
2020-05-20 14:30:00,18.0,135.75557603686636,2443.6003686635945
2020-05-20 15:00:00,19.1,141.00502873563218,2693.1960488505747
2020-05-20 15:30:00,19.55,145.54713258505788,2845.4464420378818
2020-05-20 16:00:00,20.15,146.35507552105307,2949.054771749219
2020-05-20 16:30:00,19.35,144.48053007135576,2795.6982568807343
2020-05-20 17:00:00,17.4,165.58491016059787,2881.1774367944026
2020-05-20 17:30:00,11.6,186.69645033216716,2165.678823853139
2020-05-20 18:00:00,8.8,226.6025,1994.102
2020-05-20 18:30:00,5.05,247.25956535047445,1248.6608050198959
2020-05-20 19:00:00,4.4,256.8614074101994,1130.1901926048774
2020-05-20 19:30:00,3.5,257.79422919610323,902.2798021863613
2020-05-20 20:00:00,3.3,256.99065001122,848.0691450370259
2020-05-20 20:30:00,3.15,258.3160117168182,813.6954369079773
2020-05-20 21:00:00,3.55,257.6358245297098,914.6071770804697
2020-05-20 21:30:00,3.0,264.9838572985189,794.9515718955568
2020-05-20 22:00:00,3.3,270.5593192333113,892.8457534699273
2020-05-20 22:30:00,3.35,268.3412681423128,898.9432482767479
2020-05-20 23:00:00,3.2,264.18651515824047,845.3968485063696
2020-05-20 23:30:00,3.6,252.7609648111424,909.9394733201127
2020-05-21 00:00:00,3.4,245.77518757963287,835.6356377707517
2020-05-21 00:30:00,3.7,243.05565658499236,899.3059293644718
2020-05-21 01:00:00,3.6,243.48637980605235,876.5509673017885
2020-05-21 01:30:00,4.55,243.5258475832757,1108.0426065039044
2020-05-21 02:00:00,3.15,245.4429210134128,773.1452011922504
2020-05-21 02:30:00,3.4,249.07571892973243,846.8574443610903
2020-05-21 03:00:00,3.95,257.20935582822085,1015.9769555214724
2020-05-21 03:30:00,3.25,262.9375915912881,854.5471726716862
2020-05-21 04:00:00,3.0,269.4663781955635,808.3991345866905
2020-05-21 04:30:00,3.35,273.5638540202588,916.4389109678671
2020-05-21 05:00:00,3.3,275.17329737019554,908.0718813216453
2020-05-21 05:30:00,3.4,257.23735115545725,874.6069939285546
2020-05-21 06:00:00,3.65,229.18511921074267,836.5256851192107
2020-05-21 06:30:00,6.7,206.9903464453266,1386.8353211836882
2020-05-21 07:00:00,5.7,192.8089623706916,1099.0110855129421
2020-05-21 07:30:00,11.35,180.34027651446243,2046.8621384391486
2020-05-21 08:00:00,10.95,167.4528457519934,1833.6086609843278
2020-05-21 08:30:00,9.65,171.0829810696563,1650.9507673221835
2020-05-21 09:00:00,13.1,175.3853617965068,2297.548239534239
2020-05-21 09:30:00,12.15,175.6473271889401,2134.115025345622
2020-05-21 10:00:00,15.35,171.15871182368434,2627.2862264935548
2020-05-21 10:30:00,11.15,172.4024283274087,1922.2870758506072
2020-05-21 11:00:00,16.7,162.12365099689043,2707.4649716480703
2020-05-21 11:30:00,11.6,159.87271410465326,1854.5234836139778
2020-05-21 12:00:00,18.7,162.4967063706912,3038.6884091319253
2020-05-21 12:30:00,16.55,154.80515911709955,2562.025383387998
2020-05-21 13:00:00,15.05,156.7447157985736,2359.007972768533
2020-05-21 13:30:00,15.8,142.52956898014594,2251.9671898863057
2020-05-21 14:00:00,17.55,146.00850304865403,2562.449228503878
2020-05-21 14:30:00,19.1,150.200645551745,2868.8323300383295
2020-05-21 15:00:00,18.55,153.56861434413338,2848.6977960836743
2020-05-21 15:30:00,16.5,156.57244792266084,2583.445390723904
2020-05-21 16:00:00,17.4,163.00895140664963,2836.355754475703
2020-05-21 16:30:00,18.35,173.38349888208774,3181.5872044863104
2020-05-21 17:00:00,16.55,196.4201124118426,3250.752860415995
2020-05-21 17:30:00,10.5,214.1312808494017,2248.378448918718
2020-05-21 18:00:00,7.0,249.38853817668843,1745.719767236819
2020-05-21 18:30:00,5.95,267.88694941163925,1593.9273489992536
2020-05-21 19:00:00,5.3,274.2748504901094,1453.6567075975797
2020-05-21 19:30:00,5.0,277.0355658037243,1385.1778290186214
2020-05-21 20:00:00,5.0,272.34369493198,1361.7184746599
2020-05-21 20:30:00,5.1,267.052661911966,1361.9685757510267
2020-05-21 21:00:00,4.75,260.942006739049,1239.4745320104828
2020-05-21 21:30:00,5.3,260.9910251450677,1383.2524332688586
2020-05-21 22:00:00,5.55,258.50999637958085,1434.7304799066737
2020-05-21 22:30:00,5.5,260.3152665995976,1431.7339662977868
2020-05-21 23:00:00,6.0,253.2731118088261,1519.6386708529565
2020-05-21 23:30:00,5.35,256.4425677173383,1371.9677372877597
2020-05-22 00:00:00,5.6,246.9694041867955,1383.0286634460547
2020-05-22 00:30:00,6.4,243.282069420864,1557.0052442935296
2020-05-22 01:00:00,6.0,242.15064195385656,1452.9038517231393
2020-05-22 01:30:00,6.15,244.1580343980344,1501.5719115479117
2020-05-22 02:00:00,6.45,245.09452095511745,1580.8596601605075
2020-05-22 02:30:00,5.05,248.5654207933111,1255.255375006221
2020-05-22 03:00:00,5.4,249.670551322277,1348.2209771402959
2020-05-22 03:30:00,5.6,247.09529929316395,1383.7336760417181
2020-05-22 04:00:00,5.55,251.49997556087783,1395.824864362872
2020-05-22 04:30:00,5.5,254.8925733859841,1401.9091536229125
2020-05-22 05:00:00,5.25,254.00600887023705,1333.5315465687445
2020-05-22 05:30:00,5.9,241.3342772322448,1423.8722356702444
2020-05-22 06:00:00,6.7,204.01273398128149,1366.885317674586
2020-05-22 06:30:00,12.65,181.397437042329,2294.6775785854616
2020-05-22 07:00:00,13.05,173.0998119290704,2258.9525456743686
2020-05-22 07:30:00,15.6,164.1862674793833,2561.3057726783795
2020-05-22 08:00:00,15.65,153.86677564364527,2408.0150388230486
2020-05-22 08:30:00,17.8,152.0300876026235,2706.1355593266985
2020-05-22 09:00:00,16.45,145.1472574229951,2387.672384608269
2020-05-22 09:30:00,23.05,139.98215286862268,3226.588623621753
2020-05-22 10:00:00,24.3,136.38809446178212,3314.2306954213054
2020-05-22 10:30:00,27.0,128.50561326687475,3469.651558205618
2020-05-22 11:00:00,27.6,120.79701840204984,3333.997707896576
2020-05-22 11:30:00,29.15,111.30071000974525,3244.4156967840736
2020-05-22 12:00:00,29.9,115.35624394966118,3449.151694094869
2020-05-22 12:30:00,29.45,116.03870321464348,3417.3398096712504
2020-05-22 13:00:00,31.65,117.88038363285976,3730.914141980011
2020-05-22 13:30:00,31.35,109.74503769124404,3440.506931620501
2020-05-22 14:00:00,33.2,114.30104895104895,3794.7948251748257
2020-05-22 14:30:00,33.8,107.57142857142856,3635.9142857142847
2020-05-22 15:00:00,36.2,112.7082843219627,4080.03989245505
2020-05-22 15:30:00,36.05,126.30798416364236,4553.4028290993065
2020-05-22 16:00:00,31.1,139.21146609015935,4329.476595403956
2020-05-22 16:30:00,30.7,149.18870101452157,4580.093121145812
2020-05-22 17:00:00,31.2,179.70303448805004,5606.734676027161
2020-05-22 17:30:00,22.15,204.87311017175065,4537.9393903042765
2020-05-22 18:00:00,13.95,242.4964221150949,3382.8250885055736
2020-05-22 18:30:00,9.45,265.76936446761886,2511.520494218998
2020-05-22 19:00:00,9.95,286.2363595455057,2848.051777477782
2020-05-22 19:30:00,8.1,290.58443002780353,2353.7338832252085
2020-05-22 20:00:00,8.6,290.79895299621296,2500.8709957674314
2020-05-22 20:30:00,8.15,288.8678790617117,2354.27321435295
2020-05-22 21:00:00,9.0,285.5511847607248,2569.9606628465235
2020-05-22 21:30:00,8.4,283.36450639345566,2380.2618537050275
2020-05-22 22:00:00,6.9,277.8117206469402,1916.9008724638875
2020-05-22 22:30:00,9.35,269.2710894808743,2517.6846866461747
2020-05-22 23:00:00,8.2,267.6257528465292,2194.5311733415397
2020-05-22 23:30:00,9.0,274.7905356496562,2473.114820846906
2020-05-23 00:00:00,9.1,270.919933122794,2465.3713914174255
2020-05-23 00:30:00,9.35,259.20367469021505,2423.5543583535105
2020-05-23 01:00:00,9.05,243.1460516103997,2200.4717670741175
2020-05-23 01:30:00,10.75,241.97193102772607,2601.1982585480555
2020-05-23 02:00:00,9.9,236.8239888562758,2344.5574896771304
2020-05-23 02:30:00,10.5,240.6524943594886,2526.85119077463
2020-05-23 03:00:00,11.7,240.63284730660183,2815.4043134872413
2020-05-23 03:30:00,9.95,239.8470390549417,2386.4780385966696
2020-05-23 04:00:00,11.15,242.72516860821585,2706.385629981607
2020-05-23 04:30:00,10.95,248.66269960831576,2722.856560711057
2020-05-23 05:00:00,10.25,257.2723358995138,2637.0414429700163
2020-05-23 05:30:00,10.1,241.6289034866094,2440.4519252147547
2020-05-23 06:00:00,14.5,205.97453042057984,2986.6306910984076
2020-05-23 06:30:00,18.0,159.9620045183816,2879.3160813308687
2020-05-23 07:00:00,18.65,163.53441253263708,3049.916793733681
2020-05-23 07:30:00,26.35,153.5100236779795,4044.9891239147596
2020-05-23 08:00:00,25.15,140.8491209376665,3542.355391582312
2020-05-23 08:30:00,31.4,140.54552788683912,4413.129575646748
2020-05-23 09:00:00,30.8,135.65604508751966,4178.206188695605
2020-05-23 09:30:00,30.2,139.79649480115768,4221.854142994962
2020-05-23 10:00:00,33.6,135.7468150298339,4561.0929850024195
2020-05-23 10:30:00,29.35,125.8340364180061,3693.228968868479
2020-05-23 11:00:00,30.85,123.19217252396166,3800.4785223642175
