Time,active_jobs,ci,emissions 
2020-07-06 02:30:00,5.3,277.4010900929785,1470.225777492786
2020-07-06 03:00:00,5.25,277.21380137460216,1455.3724572166614
2020-07-06 03:30:00,4.55,272.63912248628884,1240.5080073126142
2020-07-06 04:00:00,4.3,276.4311714246812,1188.6540371261292
2020-07-06 04:30:00,4.0,278.3221659696236,1113.2886638784944
2020-07-06 05:00:00,2.85,276.1143333479577,786.9258500416795
2020-07-06 05:30:00,2.8,258.69848562191595,724.3557597413646
2020-07-06 06:00:00,2.7,230.1830728300632,621.4942966411706
2020-07-06 06:30:00,2.6,211.49865639914967,549.8965066377891
2020-07-06 07:00:00,2.45,183.6137188387504,449.8536111549385
2020-07-06 07:30:00,2.4,176.49000977517107,423.57602346041057
2020-07-06 08:00:00,2.25,171.93819616336634,386.86094136757424
2020-07-06 08:30:00,2.1,172.85259708090393,362.99045386989826
2020-07-06 09:00:00,2.0,175.28538709919653,350.57077419839305
2020-07-06 09:30:00,2.0,171.49369161487215,342.9873832297443
2020-07-06 10:00:00,2.0,176.63977301662362,353.27954603324724
2020-07-06 10:30:00,2.0,184.1991698300635,368.398339660127
2020-07-06 11:00:00,2.15,185.97435009865347,399.84485271210497
2020-07-06 11:30:00,3.1,190.727330908111,591.2547258151442
2020-07-06 12:00:00,3.5,196.55057317351967,687.9270061073188
2020-07-06 12:30:00,3.5,193.83534612550852,678.4237114392798
2020-07-06 13:00:00,3.5,195.71123560535327,684.9893246187364
2020-07-06 13:30:00,4.0,193.57619712326272,774.3047884930509
2020-07-06 14:00:00,4.4,200.47353374594755,882.0835484821692
2020-07-06 14:30:00,4.9,201.15768986794305,985.672680352921
2020-07-06 15:00:00,4.9,206.4609964912281,1011.6588828070177
2020-07-06 15:30:00,4.95,211.0627521414756,1044.7606231003044
2020-07-06 16:00:00,5.3,218.00232683982685,1155.4123322510823
2020-07-06 16:30:00,5.7,223.0222210352011,1271.2266599006464
2020-07-06 17:00:00,5.7,232.3519875579924,1324.4063290805568
2020-07-06 17:30:00,5.25,249.28307790210533,1308.736158986053
2020-07-06 18:00:00,5.7,271.4973480871228,1547.5348840966
2020-07-06 18:30:00,5.35,293.6379752419288,1570.963167544319
2020-07-06 19:00:00,5.35,304.2110068404093,1627.5288865961897
2020-07-06 19:30:00,5.85,303.0763049920219,1772.996384203328
2020-07-06 20:00:00,5.85,301.64807804309845,1764.641256552126
2020-07-06 20:30:00,5.85,298.84243584375184,1748.2282496859482
2020-07-06 21:00:00,5.85,295.36047019206785,1727.8587506235967
2020-07-06 21:30:00,5.85,299.2939518610904,1750.8696183873788
2020-07-06 22:00:00,5.85,291.928389888721,1707.7810808490176
2020-07-06 22:30:00,5.85,291.0887605795438,1702.8692493903313
2020-07-06 23:00:00,5.85,290.12700795676324,1697.2429965470649
2020-07-06 23:30:00,5.85,286.3704898911353,1675.2673658631415
2020-07-07 00:00:00,5.85,286.139459067858,1673.9158355469692
2020-07-07 00:30:00,5.85,282.77415888236754,1654.22882946185
2020-07-07 01:00:00,5.85,275.1641835391995,1609.7104737043169
2020-07-07 01:30:00,5.85,280.4346262188516,1640.5425633802815
2020-07-07 02:00:00,6.35,282.2051102248324,1792.0024499276858
2020-07-07 02:30:00,6.35,278.6437821536278,1769.3880166755364
2020-07-07 03:00:00,6.35,276.67173620457606,1756.8655248990578
2020-07-07 03:30:00,6.55,279.7021409455843,1832.049023193577
2020-07-07 04:00:00,6.65,282.6083491965116,1879.3455221568022
2020-07-07 04:30:00,6.65,285.79388453376066,1900.5293321495085
2020-07-07 05:00:00,6.65,288.2887737478411,1917.1203454231434
2020-07-07 05:30:00,6.65,272.13034375915925,1809.666785998409
2020-07-07 06:00:00,6.65,242.307881773399,1611.3474137931034
2020-07-07 06:30:00,6.65,208.19511999679477,1384.4975479786854
2020-07-07 07:00:00,6.65,190.126430387794,1264.34076207883
2020-07-07 07:30:00,6.65,181.76185450138772,1208.7163324342284
2020-07-07 08:00:00,6.55,167.45310544430538,1096.8178406602
2020-07-07 08:30:00,6.5,176.38315684850338,1146.490519515272
2020-07-07 09:00:00,6.35,173.13294162244125,1099.394179302502
2020-07-07 09:30:00,5.5,166.5023024080924,915.7626632445082
2020-07-07 10:00:00,6.0,171.1021908652061,1026.6131451912365
2020-07-07 10:30:00,6.0,176.47591235580063,1058.855474134804
2020-07-07 11:00:00,6.5,178.59650367008263,1160.8772738555372
2020-07-07 11:30:00,6.5,187.4349087603999,1218.3269069425994
2020-07-07 12:00:00,6.8,189.87317372203117,1291.1375813098118
2020-07-07 12:30:00,7.15,193.54516844999503,1383.8479544174645
2020-07-07 13:00:00,7.15,202.1310364850479,1445.2369108680925
2020-07-07 13:30:00,8.25,207.96073504005025,1715.6760640804146
2020-07-07 14:00:00,8.25,213.9007486631016,1764.6811764705883
2020-07-07 14:30:00,8.25,219.12658114824845,1807.7942944730496
2020-07-07 15:00:00,8.25,226.2120206167555,1866.2491700882329
2020-07-07 15:30:00,8.4,224.91622569883813,1889.2962958702403
2020-07-07 16:00:00,8.4,233.4484991171277,1960.9673925838729
2020-07-07 16:30:00,9.3,241.1029108032936,2242.257070470631
2020-07-07 17:00:00,9.55,254.72422589486823,2432.6163572959917
2020-07-07 17:30:00,9.55,267.10877488847785,2550.8888001849637
2020-07-07 18:00:00,9.55,287.44217018721685,2745.072725287921
2020-07-07 18:30:00,9.55,302.145788964182,2885.492284607938
2020-07-07 19:00:00,9.15,310.2476663356504,2838.7661469712016
2020-07-07 19:30:00,9.15,309.2690278176083,2829.811604531116
2020-07-07 20:00:00,9.15,310.608934949353,2842.07175478658
2020-07-07 20:30:00,9.15,314.80329968134845,2880.4501920843386
2020-07-07 21:00:00,9.35,312.3337679674645,2920.3207304957928
2020-07-07 21:30:00,9.35,316.6500244259893,2960.6777283829997
2020-07-07 22:00:00,9.35,308.19915872315886,2881.662134061535
2020-07-07 22:30:00,9.35,304.7975701331822,2849.8572807452533
2020-07-07 23:00:00,9.35,299.49848035581914,2800.3107913269087
2020-07-07 23:30:00,9.75,292.52829753717293,2852.150900987436
2020-07-08 00:00:00,9.75,284.2688146568744,2771.6209429045252
2020-07-08 00:30:00,9.75,280.24492777146565,2732.38804577179
2020-07-08 01:00:00,9.75,274.85476556974663,2679.8339643050294
2020-07-08 01:30:00,9.8,275.2052926684224,2697.0118681505396
2020-07-08 02:00:00,10.1,273.2465978312524,2759.7906380956492
2020-07-08 02:30:00,10.15,275.24549412276883,2793.741765346104
2020-07-08 03:00:00,10.15,277.6106147955816,2817.7477401751535
2020-07-08 03:30:00,10.2,280.3483944551676,2859.553623442709
2020-07-08 04:00:00,10.2,286.02886911222055,2917.4944649446493
2020-07-08 04:30:00,10.3,288.50716830675265,2971.6238335595526
2020-07-08 05:00:00,10.35,292.91455589327927,3031.6656534954404
2020-07-08 05:30:00,10.6,273.6997767857143,2901.217633928571
2020-07-08 06:00:00,10.6,245.3061717279201,2600.2454203159527
2020-07-08 06:30:00,10.6,222.2546375713089,2355.899158255874
2020-07-08 07:00:00,10.6,196.18845044831536,2079.597574752143
2020-07-08 07:30:00,10.6,183.058996012198,1940.4253577292989
2020-07-08 08:00:00,10.6,172.8126073380172,1831.8136377829821
2020-07-08 08:30:00,10.6,173.79209754591758,1842.1962339867264
2020-07-08 09:00:00,10.6,174.63632875450847,1851.1450847977897
2020-07-08 09:30:00,10.5,176.57671696248718,1854.0555281061154
2020-07-08 10:00:00,10.9,180.50628272251308,1967.5184816753926
2020-07-08 10:30:00,11.4,186.90656317189607,2130.734820159615
2020-07-08 11:00:00,11.05,193.1602607730057,2134.420881541713
2020-07-08 11:30:00,11.25,197.00677327002305,2216.326199287759
2020-07-08 12:00:00,11.75,204.4386867490269,2402.154569301066
2020-07-08 12:30:00,11.65,207.88796490309065,2421.894791121006
2020-07-08 13:00:00,11.0,211.6939586645469,2328.633545310016
2020-07-08 13:30:00,11.4,213.2994273332301,2431.6134715988233
2020-07-08 14:00:00,11.95,216.61136541588868,2588.5058167198695
2020-07-08 14:30:00,11.95,209.94642909820348,2508.8598277235315
2020-07-08 15:00:00,11.95,214.09066419488457,2558.3834371288704
2020-07-08 15:30:00,11.95,219.47265368940063,2622.6982115883375
2020-07-08 16:00:00,12.0,226.24414484247828,2714.9297381097394
2020-07-08 16:30:00,12.5,230.43465800534963,2880.4332250668704
2020-07-08 17:00:00,13.0,244.0792390894904,3173.030108163375
2020-07-08 17:30:00,13.0,255.7820301300949,3325.166391691234
2020-07-08 18:00:00,13.0,283.8988241058305,3690.6847133757965
2020-07-08 18:30:00,13.0,298.6132879517406,3881.9727433726275
2020-07-08 19:00:00,12.5,310.37367267344206,3879.6709084180256
2020-07-08 19:30:00,12.5,311.6343627563955,3895.4295344549437
2020-07-08 20:00:00,12.95,309.2250820825516,4004.4648129690427
2020-07-08 20:30:00,12.95,309.6570165945166,4010.05836489899
2020-07-08 21:00:00,12.95,307.371645347379,3980.462807248558
2020-07-08 21:30:00,13.4,307.597400471451,4121.805166317444
2020-07-08 22:00:00,13.4,301.6707522230233,4042.3880797885126
2020-07-08 22:30:00,13.4,296.9644806780635,3979.3240410860512
2020-07-08 23:00:00,13.3,291.76036264597246,3880.412823191434
2020-07-08 23:30:00,13.3,282.50295469468153,3757.289297439265
2020-07-09 00:00:00,13.0,278.5796703296703,3621.5357142857138
2020-07-09 00:30:00,13.05,281.4194998365479,3672.5244728669504
2020-07-09 01:00:00,13.05,282.652668087418,3688.617318540805
2020-07-09 01:30:00,13.0,283.48603138155374,3685.318407960199
2020-07-09 02:00:00,13.05,281.3147142487717,3671.1570209464708
2020-07-09 02:30:00,12.55,283.96384602046123,3563.7462675567886
2020-07-09 03:00:00,12.55,283.8803172942817,3562.6979820432357
2020-07-09 03:30:00,12.55,285.47121238476257,3582.6637154287705
2020-07-09 04:00:00,12.55,292.41496657321545,3669.807830493854
2020-07-09 04:30:00,12.2,294.8550657645921,3597.2318023280236
2020-07-09 05:00:00,12.2,293.0089886700949,3574.709661775157
2020-07-09 05:30:00,12.2,276.8054339375588,3377.026294038217
2020-07-09 06:00:00,12.2,246.10553591515347,3002.487538164872
2020-07-09 06:30:00,12.2,224.38816868410777,2737.5356579461145
2020-07-09 07:00:00,12.2,199.8901487205374,2438.659814390556
2020-07-09 07:30:00,12.2,192.02834784610076,2342.745843722429
2020-07-09 08:00:00,12.2,181.9282702039565,2219.524896488269
2020-07-09 08:30:00,12.15,179.17356949269,2176.958869336184
2020-07-09 09:00:00,12.1,180.0706038235851,2178.8543062653794
2020-07-09 09:30:00,10.5,183.788912500466,1929.783581254893
2020-07-09 10:00:00,11.0,188.4389521056676,2072.8284731623435
2020-07-09 10:30:00,11.0,187.42909667651932,2061.7200634417127
2020-07-09 11:00:00,11.5,194.38781046327284,2235.4598203276378
2020-07-09 11:30:00,11.5,196.44693737095665,2259.1397797660015
2020-07-09 12:00:00,12.0,205.76538627249528,2469.184635269943
2020-07-09 12:30:00,12.0,212.3267829046656,2547.9213948559873
2020-07-09 13:00:00,12.0,219.93863982353125,2639.263677882375
2020-07-09 13:30:00,12.9,223.69279667399752,2885.637077094568
2020-07-09 14:00:00,13.05,228.9979511195668,2988.423262110347
2020-07-09 14:30:00,13.8,233.84951110350923,3227.1232532284275
2020-07-09 15:00:00,14.4,240.16755872320363,3458.4128456141325
2020-07-09 15:30:00,14.4,244.31071107600968,3518.0742394945396
2020-07-09 16:00:00,13.9,250.214083831058,3477.975765251706
2020-07-09 16:30:00,14.3,254.86219211175884,3644.5293471981518
2020-07-09 17:00:00,14.75,265.40346835770674,3914.7011582761743
2020-07-09 17:30:00,14.75,280.7147877315832,4140.543119040853
2020-07-09 18:00:00,14.65,303.7581248053162,4450.056528397882
2020-07-09 18:30:00,14.7,320.9838969404187,4718.463285024154
2020-07-09 19:00:00,14.7,329.5407862341387,4844.249557641839
2020-07-09 19:30:00,15.2,333.26929446836704,5065.693275919179
2020-07-09 20:00:00,14.7,327.89683996498263,4820.083547485245
2020-07-09 20:30:00,14.7,324.2228612716763,4766.076060693642
2020-07-09 21:00:00,14.7,322.5272432042338,4741.150475102237
2020-07-09 21:30:00,14.4,323.29388405978364,4655.431930460884
2020-07-09 22:00:00,14.4,319.97500660327523,4607.640095087164
2020-07-09 22:30:00,14.3,317.08843420053825,4534.3646090676975
2020-07-09 23:00:00,14.3,309.5749279538905,4426.921469740634
2020-07-09 23:30:00,14.3,300.3437952679865,4294.916272332207
2020-07-10 00:00:00,14.3,302.0955030660913,4319.965693845105
2020-07-10 00:30:00,14.3,302.07302475613074,4319.64425401267
2020-07-10 01:00:00,14.85,299.6737840098793,4450.1556925467075
2020-07-10 01:30:00,14.35,298.7296517534235,4286.770502661628
2020-07-10 02:00:00,14.35,298.60436873082983,4284.972691287408
2020-07-10 02:30:00,14.35,300.5916890982504,4313.4907385598935
2020-07-10 03:00:00,14.35,295.93745163786434,4246.702431003353
2020-07-10 03:30:00,14.35,298.7022206979336,4286.376867015348
2020-07-10 04:00:00,14.4,302.52106675755124,4356.303361308738
2020-07-10 04:30:00,14.4,301.601106407946,4343.055932274423
2020-07-10 05:00:00,14.55,303.17750490748864,4411.23269640396
2020-07-10 05:30:00,14.8,295.70080994845785,4376.371987237177
2020-07-10 06:00:00,15.05,277.8051562123524,4180.967600995904
2020-07-10 06:30:00,15.3,247.35631777463465,3784.5516619519103
2020-07-10 07:00:00,15.4,222.15377123266325,3421.168076983014
2020-07-10 07:30:00,15.15,212.76282051282053,3223.356730769231
2020-07-10 08:00:00,15.15,203.15192614542968,3077.7516811032597
2020-07-10 08:30:00,15.15,204.2277027785049,3094.049697094349
2020-07-10 09:00:00,15.0,205.040674347554,3075.6101152133097
2020-07-10 09:30:00,12.75,206.68981781522288,2635.2951771440917
2020-07-10 10:00:00,12.5,213.60831986508327,2670.103998313541
2020-07-10 10:30:00,12.15,219.9597054612395,2672.5104213540603
2020-07-10 11:00:00,12.15,224.29842845326715,2725.225905707196
2020-07-10 11:30:00,11.75,235.21156807391247,2763.7359248684716
2020-07-10 12:00:00,12.2,239.78698462775665,2925.401212458631
2020-07-10 12:30:00,11.85,246.32688985524516,2918.973644784655
2020-07-10 13:00:00,11.8,252.31845203740045,2977.3577340413253
2020-07-10 13:30:00,11.85,253.9139183901621,3008.8799329234207
2020-07-10 14:00:00,12.2,263.1119156090682,3209.965370430632
2020-07-10 14:30:00,12.2,268.4640306797144,3275.261174292516
2020-07-10 15:00:00,11.7,270.18995880535533,3161.2225180226574
2020-07-10 15:30:00,11.7,276.33416805787425,3233.1097662771285
2020-07-10 16:00:00,11.3,280.5222702219574,3169.9016535081187
2020-07-10 16:30:00,11.2,281.9726074470435,3158.0932034068874
2020-07-10 17:00:00,10.7,291.08792701863354,3114.6408190993784
2020-07-10 17:30:00,10.7,303.29654667480173,3245.2730494203784
2020-07-10 18:00:00,10.25,322.6177315235267,3306.8317481161484
2020-07-10 18:30:00,10.25,337.96064745321723,3464.0966363954767
2020-07-10 19:00:00,9.25,345.20479971129555,3193.144397329484
2020-07-10 19:30:00,9.75,346.38292994294346,3377.233566943699
2020-07-10 20:00:00,9.75,345.46859416445625,3368.3187931034486
2020-07-10 20:30:00,9.35,344.3223576793295,3219.414044301731
2020-07-10 21:00:00,9.35,341.8940573596444,3196.7094363126753
2020-07-10 21:30:00,8.9,348.8168272926152,3104.4697629042753
